Model,Train Loss,Val Loss,Test RMSE,Test MAE,Test MSE,Test R²
Full Data,0.8059391975402832,0.9867451786994934,0.14667629360973153,0.08217521738350876,0.021513935107088166,-0.1338853005788616
25% Reduction Data,0.8053766489028931,0.9876487851142883,0.1446099104474715,0.08246637680305167,0.020912026199625733,-0.10216187764103402
50% Reduction Data,0.884626567363739,0.983263373374939,0.14603667489993008,0.08336331371509831,0.021326710415827867,-0.12401768109089883
75% Reduction Data,0.9017059803009033,0.9843380451202393,0.142644843593373,0.08221930740097523,0.02034755140377785,-0.07241140798621526
