test_index,actual,predicted,Date
408,-0.1293676114527433,-0.10501629859209057,2020-02-01
409,-0.5482539855603985,-0.31884920597076416,2020-03-01
410,-0.5681250145765775,-2.936829566955566,2020-04-01
411,0.5456210356483115,-1.755277395248413,2020-05-01
412,0.293703821241174,0.8979155421257019,2020-06-01
413,0.06076280380233,0.6407972574234009,2020-07-01
414,0.0392585031918315,0.30030670762062067,2020-08-01
415,-0.0661458585043752,0.06693243980407715,2020-09-01
416,-0.0058205908984558,-0.17904907464981076,2020-10-01
417,0.0383417639292553,0.0030946042388677714,2020-11-01
418,0.1384654628787802,0.07447894662618638,2020-12-01
419,0.1006706754695039,0.22029779851436618,2021-01-01
420,0.1269714617107893,0.2607630789279938,2021-02-01
421,0.054227670528542,0.2615579664707184,2021-03-01
422,-0.0098348233257992,0.14350265264511108,2021-04-01
423,0.0543912128493291,-0.04837602749466896,2021-05-01
424,0.0910184777177249,0.10546959936618805,2021-06-01
425,0.0154309032507722,0.17928919196128845,2021-07-01
426,-0.0679194080859737,0.026509299874305725,2021-08-01
427,0.0562639410473684,-0.17691293358802793,2021-09-01
428,0.1285644370844245,0.1660133451223373,2021-10-01
429,-0.0290128050315843,0.22024147212505343,2021-11-01
430,-0.0987145784325376,-0.02598999999463559,2021-12-01
431,0.1488574956603114,-0.25250110030174255,2022-01-01
432,0.0963801540305002,0.39671713113784784,2022-02-01
433,0.1688823153952192,0.16663791239261627,2022-03-01
434,-0.063936551819828,0.27337196469306946,2022-04-01
435,0.0735674448807888,-0.023698048666119565,2022-05-01
436,0.0471587892113882,0.31671851873397827,2022-06-01
437,-0.1222994890872772,0.08562834560871124,2022-07-01
438,-0.0814623989445468,0.028755892068147663,2022-08-01
439,-0.1058707106701684,0.23257356882095337,2022-09-01
440,0.0383028021809899,-0.18671905994415283,2022-10-01
441,-0.0369981705543249,0.09741787612438205,2022-11-01
442,-0.0987057688054635,-0.08951919525861742,2022-12-01
443,0.0217399866364056,-0.04717996716499329,2023-01-01
444,-0.0166509171289339,0.11383560299873352,2023-02-01
445,-0.0473074685136687,0.024673033505678184,2023-03-01
446,0.0808401726168499,-0.0607883483171463,2023-04-01
447,-0.1043121876448456,0.1223696768283844,2023-05-01
448,-0.0187553971240239,-0.16482497751712796,2023-06-01
449,0.0795936607953544,0.17442157864570618,2023-07-01
450,0.0675984463297405,0.15780261158943173,2023-08-01
451,0.0942037810191394,0.06635341793298717,2023-09-01
452,-0.0433037326366081,0.22051955759525296,2023-10-01
453,-0.0974259147591523,-0.025595828890800486,2023-11-01
454,-0.0774502842353284,-0.20355990529060364,2023-12-01
455,0.0308138038569403,-0.18749600648880008,2024-01-01
456,0.0409568471939136,0.16743060946464533,2024-02-01
457,0.0508530680523167,0.08262161165475845,2024-03-01
458,0.0488604654102777,0.12423519045114514,2024-04-01
459,-0.0644838458113605,0.09643585979938506,2024-05-01
460,-0.0031291095060508,-0.1505086272954941,2024-06-01
461,0.0251297496856635,0.07002790272235868,2024-07-01
462,-0.064636325431258,0.06487026810646056,2024-08-01
463,-0.0877229688505822,-0.18514753878116608,2024-09-01
464,0.0246092711543504,-0.5794345140457152,2024-10-01
465,-0.0287465193697213,0.04087103530764579,2024-11-01
466,0.0024273589415431,-0.1086283028125763,2024-12-01
467,0.0770983624206156,0.02216181159019468,2025-01-01
468,-0.0571894803533563,0.20587714016437528,2025-02-01
469,-0.047086038936869,-0.08785944432020187,2025-03-01
470,-0.0713612743420535,-0.07479467242956163,2025-04-01
471,-0.0217970605601243,-0.15396177768707273,2025-05-01
472,0.0921320170934478,0.028902735561132434,2025-06-01
473,0.0032220297353111,0.2319522649049759,2025-07-01
474,-0.0529955142308331,0.012783861719071853,2025-08-01
475,-0.0139732129134184,-0.13374099135398865,2025-09-01
476,-0.0491889303452701,-0.032593246549367905,2025-10-01
477,-0.013724895065299,-0.19335301220417025,2025-11-01
478,-0.0354184272035427,-0.02655602619051935,2025-12-01
479,0.0350853714136194,-0.11570708453655242,2026-01-01
