test_index,actual,predicted,Date
744,-0.1293676114527433,-0.1556703895330429,2020-02-01
745,-0.5482539855603985,-0.2757301330566406,2020-03-01
746,-0.5681250145765775,-2.159197092056274,2020-04-01
747,0.5456210356483115,-2.861788034439087,2020-05-01
748,0.293703821241174,0.5391414761543274,2020-06-01
749,0.06076280380233,-0.22658069431781766,2020-07-01
750,0.0392585031918315,-0.24849651753902435,2020-08-01
751,-0.0661458585043752,-0.08049103617668149,2020-09-01
752,-0.0058205908984558,-0.16983906924724582,2020-10-01
753,0.0383417639292553,0.00047974288463591234,2020-11-01
754,0.1384654628787802,0.004784073680639264,2020-12-01
755,0.1006706754695039,0.08873710781335828,2021-01-01
756,0.1269714617107893,0.018032809719443297,2021-02-01
757,0.054227670528542,0.03373894095420837,2021-03-01
758,-0.0098348233257992,-0.02369301766157149,2021-04-01
759,0.0543912128493291,-0.11974816024303438,2021-05-01
760,0.0910184777177249,0.042041141539812095,2021-06-01
761,0.0154309032507722,0.06813229620456691,2021-07-01
762,-0.0679194080859737,-0.11199469864368439,2021-08-01
763,0.0562639410473684,-0.12613406777381897,2021-09-01
764,0.1285644370844245,0.08357115089893341,2021-10-01
765,-0.0290128050315843,0.09678172320127486,2021-11-01
766,-0.0987145784325376,-0.22363273799419403,2021-12-01
767,0.1488574956603114,-0.17609398066997525,2022-01-01
768,0.0963801540305002,0.30813816189765925,2022-02-01
769,0.1688823153952192,0.036728683859109865,2022-03-01
770,-0.063936551819828,0.31963759660720825,2022-04-01
771,0.0735674448807888,-0.13043704628944397,2022-05-01
772,0.0471587892113882,0.8813796043395995,2022-06-01
773,-0.1222994890872772,0.7278598546981812,2022-07-01
774,-0.0814623989445468,0.8481334447860718,2022-08-01
775,-0.1058707106701684,1.4286763668060303,2022-09-01
776,0.0383028021809899,0.33898210525512695,2022-10-01
777,-0.0369981705543249,1.139049768447876,2022-11-01
778,-0.0987057688054635,0.09913919121026993,2022-12-01
779,0.0217399866364056,-0.13926233351230616,2023-01-01
780,-0.0166509171289339,0.45513030886650085,2023-02-01
781,-0.0473074685136687,0.05641156807541846,2023-03-01
782,0.0808401726168499,0.011650316417217234,2023-04-01
783,-0.1043121876448456,0.378154993057251,2023-05-01
784,-0.0187553971240239,-0.11819469183683395,2023-06-01
785,0.0795936607953544,0.3199265301227569,2023-07-01
786,0.0675984463297405,0.17615915834903714,2023-08-01
787,0.0942037810191394,0.05432778969407079,2023-09-01
788,-0.0433037326366081,0.1264182180166244,2023-10-01
789,-0.0974259147591523,-0.130497545003891,2023-11-01
790,-0.0774502842353284,-0.21593320369720456,2023-12-01
791,0.0308138038569403,-0.1468523591756821,2024-01-01
792,0.0409568471939136,0.0765351131558418,2024-02-01
793,0.0508530680523167,0.03252585232257842,2024-03-01
794,0.0488604654102777,0.029637435451149944,2024-04-01
795,-0.0644838458113605,0.018075326457619677,2024-05-01
796,-0.0031291095060508,-0.13255842030048368,2024-06-01
797,0.0251297496856635,0.03878744691610335,2024-07-01
798,-0.064636325431258,0.018646907061338407,2024-08-01
799,-0.0877229688505822,-0.17126221954822538,2024-09-01
800,0.0246092711543504,-0.41833877563476557,2024-10-01
801,-0.0287465193697213,-0.15224623680114746,2024-11-01
802,0.0024273589415431,-0.1575796902179718,2024-12-01
803,0.0770983624206156,-0.07482159137725829,2025-01-01
804,-0.0571894803533563,-0.011479552835226062,2025-02-01
805,-0.047086038936869,-0.20188955962657928,2025-03-01
806,-0.0713612743420535,-0.05097538977861401,2025-04-01
807,-0.0217970605601243,-0.08005636930465697,2025-05-01
808,0.0921320170934478,0.06528301537036894,2025-06-01
809,0.0032220297353111,0.16100087761878965,2025-07-01
810,-0.0529955142308331,-0.0513261556625366,2025-08-01
811,-0.0139732129134184,-0.1573054939508438,2025-09-01
812,-0.0491889303452701,-0.14547812938690183,2025-10-01
813,-0.013724895065299,-0.18947535753250117,2025-11-01
814,-0.0354184272035427,-0.05518829450011252,2025-12-01
815,0.0350853714136194,-0.22896490991115567,2026-01-01
