test_index,actual,predicted,Date
743,-0.1293676114527433,-0.19198067486286163,2020-02-01
744,-0.5482539855603985,-0.36169952154159546,2020-03-01
745,-0.5681250145765775,-4.492795467376709,2020-04-01
746,0.5456210356483115,-2.929321765899658,2020-05-01
747,0.293703821241174,0.03414282202720643,2020-06-01
748,0.06076280380233,0.8491960763931274,2020-07-01
749,0.0392585031918315,0.2521639764308929,2020-08-01
750,-0.0661458585043752,0.043370801955461516,2020-09-01
751,-0.0058205908984558,-0.2040131837129593,2020-10-01
752,0.0383417639292553,-0.006951101124286639,2020-11-01
753,0.1384654628787802,0.04974932223558423,2020-12-01
754,0.1006706754695039,0.24521598219871515,2021-01-01
755,0.1269714617107893,0.22929307818412775,2021-02-01
756,0.054227670528542,0.2661714255809784,2021-03-01
757,-0.0098348233257992,0.08755458891391754,2021-04-01
758,0.0543912128493291,-0.07951264828443527,2021-05-01
759,0.0910184777177249,0.08255607634782791,2021-06-01
760,0.0154309032507722,0.18733187019824982,2021-07-01
761,-0.0679194080859737,0.036912813782691956,2021-08-01
762,0.0562639410473684,-0.21027736365795133,2021-09-01
763,0.1285644370844245,0.15285436809062958,2021-10-01
764,-0.0290128050315843,0.23612388968467712,2021-11-01
765,-0.0987145784325376,-0.09604224562644958,2021-12-01
766,0.1488574956603114,-0.2432505041360855,2022-01-01
767,0.0963801540305002,0.40207281708717346,2022-02-01
768,0.1688823153952192,0.153294175863266,2022-03-01
769,-0.063936551819828,0.31952068209648127,2022-04-01
770,0.0735674448807888,-0.03927274793386459,2022-05-01
771,0.0471587892113882,0.3427290916442871,2022-06-01
772,-0.1222994890872772,0.31064197421073914,2022-07-01
773,-0.0814623989445468,0.39512062072753906,2022-08-01
774,-0.1058707106701684,0.7867653369903564,2022-09-01
775,0.0383028021809899,0.28882819414138794,2022-10-01
776,-0.0369981705543249,0.3513560593128204,2022-11-01
777,-0.0987057688054635,0.27948814630508423,2022-12-01
778,0.0217399866364056,0.09672839939594266,2023-01-01
779,-0.0166509171289339,0.21008478105068207,2023-02-01
780,-0.0473074685136687,0.14510437846183777,2023-03-01
781,0.0808401726168499,-0.03703878074884415,2023-04-01
782,-0.1043121876448456,0.23203504085540771,2023-05-01
783,-0.0187553971240239,-0.012612884864211084,2023-06-01
784,0.0795936607953544,0.15961860120296478,2023-07-01
785,0.0675984463297405,0.16867737472057345,2023-08-01
786,0.0942037810191394,0.13738615810871124,2023-09-01
787,-0.0433037326366081,0.16925331950187683,2023-10-01
788,-0.0974259147591523,-0.133240595459938,2023-11-01
789,-0.0774502842353284,-0.3119750916957855,2023-12-01
790,0.0308138038569403,-0.1459586918354034,2024-01-01
791,0.0409568471939136,0.09921877831220628,2024-02-01
792,0.0508530680523167,0.08276200294494629,2024-03-01
793,0.0488604654102777,0.09454776346683502,2024-04-01
794,-0.0644838458113605,0.0685156285762787,2024-05-01
795,-0.0031291095060508,-0.16098476946353912,2024-06-01
796,0.0251297496856635,0.04301764070987704,2024-07-01
797,-0.064636325431258,0.02805994078516961,2024-08-01
798,-0.0877229688505822,-0.293915331363678,2024-09-01
799,0.0246092711543504,-0.6559634208679198,2024-10-01
800,-0.0287465193697213,0.052062869071960484,2024-11-01
801,0.0024273589415431,-0.1918024867773056,2024-12-01
802,0.0770983624206156,-0.0674728527665138,2025-01-01
803,-0.0571894803533563,0.1546298265457153,2025-02-01
804,-0.047086038936869,-0.16263380646705627,2025-03-01
805,-0.0713612743420535,-0.07639141380786897,2025-04-01
806,-0.0217970605601243,-0.14698657393455503,2025-05-01
807,0.0921320170934478,0.011272817850112915,2025-06-01
808,0.0032220297353111,0.20347751677036285,2025-07-01
809,-0.0529955142308331,-0.012547649443149546,2025-08-01
810,-0.0139732129134184,-0.24100616574287415,2025-09-01
811,-0.0491889303452701,-0.13497620820999146,2025-10-01
812,-0.013724895065299,-0.2975677251815796,2025-11-01
813,-0.0354184272035427,-0.06375786662101747,2025-12-01
814,0.0350853714136194,-0.25229448080062866,2026-01-01
