test_index,actual,predicted,Date
408,-0.1293676114527433,-0.10570030659437175,2020-02-01
409,-0.5482539855603985,0.48842278122901917,2020-03-01
410,-0.5681250145765775,-3.201233863830566,2020-04-01
411,0.5456210356483115,-1.6725531816482544,2020-05-01
412,0.293703821241174,0.5840268135070801,2020-06-01
413,0.06076280380233,1.213912844657898,2020-07-01
414,0.0392585031918315,0.4356560111045837,2020-08-01
415,-0.0661458585043752,0.2689566910266876,2020-09-01
416,-0.0058205908984558,-1.8437668085098267,2020-10-01
417,0.0383417639292553,0.39005738496780396,2020-11-01
418,0.1384654628787802,0.6113777756690979,2020-12-01
419,0.1006706754695039,1.259994387626648,2021-01-01
420,0.1269714617107893,1.3877722024917603,2021-02-01
421,0.054227670528542,0.6602342128753662,2021-03-01
422,-0.0098348233257992,0.3985598683357239,2021-04-01
423,0.0543912128493291,-1.0289016962051392,2021-05-01
424,0.0910184777177249,-0.628648042678833,2021-06-01
425,0.0154309032507722,0.32872682809829706,2021-07-01
426,-0.0679194080859737,0.21205687522888184,2021-08-01
427,0.0562639410473684,-0.00896835327148435,2021-09-01
428,0.1285644370844245,0.36510086059570307,2021-10-01
429,-0.0290128050315843,0.01134576182812454,2021-11-01
430,-0.0987145784325376,0.08381601423025131,2021-12-01
431,0.1488574956603114,-0.8858786225318909,2022-01-01
432,0.0963801540305002,0.8312269449234008,2022-02-01
433,0.1688823153952192,0.12364099174737929,2022-03-01
434,-0.063936551819828,-0.8834972381591797,2022-04-01
435,0.0735674448807888,-1.0507740974426267,2022-05-01
436,0.0471587892113882,-0.14819054305553436,2022-06-01
437,-0.1222994890872772,0.21340852975845334,2022-07-01
438,-0.0814623989445468,1.257485508918762,2022-08-01
439,-0.1058707106701684,0.09247836470603943,2022-09-01
440,0.0383028021809899,-0.8845017552375793,2022-10-01
441,-0.0369981705543249,1.6964895725250244,2022-11-01
442,-0.0987057688054635,-0.4518624544143677,2022-12-01
443,0.0217399866364056,-1.3819409608840942,2023-01-01
444,-0.0166509171289339,0.6301432847976683,2023-02-01
445,-0.0473074685136687,0.15028157830238342,2023-03-01
446,0.0808401726168499,0.7129074335098267,2023-04-01
447,-0.1043121876448456,0.6668958067893982,2023-05-01
448,-0.0187553971240239,-0.8216850161552429,2023-06-01
449,0.0795936607953544,0.27056971192359924,2023-07-01
450,0.0675984463297405,-0.40919613838195795,2023-08-01
451,0.0942037810191394,0.19711472094058982,2023-09-01
452,-0.0433037326366081,0.7544153332710266,2023-10-01
453,-0.0974259147591523,-0.4086025655269622,2023-11-01
454,-0.0774502842353284,-0.17025548219680786,2023-12-01
455,0.0308138038569403,-0.10957282036542894,2024-01-01
456,0.0409568471939136,0.5712693333625792,2024-02-01
457,0.0508530680523167,0.22432778775691986,2024-03-01
458,0.0488604654102777,-0.277322381734848,2024-04-01
459,-0.0644838458113605,0.25722548365592957,2024-05-01
460,-0.0031291095060508,-0.35441213846206665,2024-06-01
461,0.0251297496856635,-0.21403260529041293,2024-07-01
462,-0.064636325431258,0.28881412744522095,2024-08-01
463,-0.0877229688505822,0.1536591798067093,2024-09-01
464,0.0246092711543504,-0.778021216392517,2024-10-01
465,-0.0287465193697213,-0.26427701115608215,2024-11-01
466,0.0024273589415431,-0.5446621775627136,2024-12-01
467,0.0770983624206156,0.3501932919025421,2025-01-01
468,-0.0571894803533563,0.5438198447227478,2025-02-01
469,-0.047086038936869,0.002645486034452916,2025-03-01
470,-0.0713612743420535,0.1470036208629608,2025-04-01
471,-0.0217970605601243,-0.40852096676826477,2025-05-01
472,0.0921320170934478,-0.029729034751653668,2025-06-01
473,0.0032220297353111,0.671271562576294,2025-07-01
474,-0.0529955142308331,-0.5918441414833068,2025-08-01
475,-0.0139732129134184,-0.49851587414741516,2025-09-01
476,-0.0491889303452701,1.0699988603591917,2025-10-01
477,-0.013724895065299,-0.27649593353271484,2025-11-01
478,-0.0354184272035427,0.09638337045907973,2025-12-01
479,0.0350853714136194,-0.29927769303321833,2026-01-01
