"date","TB3MS"
1986-01-01,-0.0299999999999994
1986-02-01,-0.0100000000000007
1986-03-01,-0.5
1986-04-01,-0.5
1986-05-01,0.0900000000000007
1986-06-01,0.0599999999999996
1986-07-01,-0.38
1986-08-01,-0.3
1986-09-01,-0.32
1986-10-01,-0.0300000000000002
1986-11-01,0.17
1986-12-01,0.180000000000001
1987-01-01,-0.100000000000001
1987-02-01,0.16
1987-03-01,0
1987-04-01,0.0499999999999998
1987-05-01,0.0200000000000005
1987-06-01,0.00999999999999979
1987-07-01,0.0200000000000005
1987-08-01,0.35
1987-09-01,0.36
1987-10-01,-0.27
1987-11-01,-0.44
1987-12-01,0.0799999999999992
1988-01-01,0.04
1988-02-01,-0.149999999999999
1988-03-01,0.04
1988-04-01,0.21
1988-05-01,0.35
1988-06-01,0.2
1988-07-01,0.27
1988-08-01,0.329999999999999
1988-09-01,0.180000000000001
1988-10-01,0.109999999999999
1988-11-01,0.41
1988-12-01,0.31
1989-01-01,0.199999999999999
1989-02-01,0.26
1989-03-01,0.290000000000001
1989-04-01,-0.17
1989-05-01,-0.220000000000001
1989-06-01,-0.279999999999999
1989-07-01,-0.27
1989-08-01,0.0200000000000005
1989-09-01,-0.15
1989-10-01,-0.11
1989-11-01,0.0500000000000007
1989-12-01,-0.0600000000000005
1990-01-01,0.00999999999999979
1990-02-01,0.100000000000001
1990-03-01,0.16
1990-04-01,-0.130000000000001
1990-05-01,-0.0299999999999994
1990-06-01,-0.00999999999999979
1990-07-01,-0.11
1990-08-01,-0.17
1990-09-01,-0.0899999999999999
1990-10-01,-0.19
1990-11-01,-0.11
1990-12-01,-0.319999999999999
1991-01-01,-0.52
1991-02-01,-0.279999999999999
1991-03-01,-0.0300000000000002
1991-04-01,-0.26
1991-05-01,-0.19
1991-06-01,0.11
1991-07-01,0.00999999999999979
1991-08-01,-0.25
1991-09-01,-0.11
1991-10-01,-0.23
1991-11-01,-0.430000000000001
1991-12-01,-0.489999999999999
1992-01-01,-0.27
1992-02-01,0.04
1992-03-01,0.2
1992-04-01,-0.29
1992-05-01,-0.12
1992-06-01,0.0300000000000002
1992-07-01,-0.45
1992-08-01,-0.0800000000000001
1992-09-01,-0.22
1992-10-01,-0.0500000000000003
1992-11-01,0.27
1992-12-01,0.0900000000000003
1993-01-01,-0.22
1993-02-01,-0.0699999999999998
1993-03-01,0.02
1993-04-01,-0.0800000000000001
1993-05-01,0.0899999999999999
1993-06-01,0.11
1993-07-01,-0.0299999999999998
1993-08-01,-0.02
1993-09-01,-0.0699999999999998
1993-10-01,0.0699999999999998
1993-11-01,0.0800000000000001
1993-12-01,-0.04
1994-01-01,-0.0800000000000001
1994-02-01,0.27
1994-03-01,0.25
1994-04-01,0.18
1994-05-01,0.46
1994-06-01,0
1994-07-01,0.19
1994-08-01,0.15
1994-09-01,0.14
1994-10-01,0.33
1994-11-01,0.34
1994-12-01,0.31
1995-01-01,0.11
1995-02-01,0.0599999999999996
1995-03-01,-0.0399999999999991
1995-04-01,-0.0800000000000001
1995-05-01,0.0199999999999996
1995-06-01,-0.2
1995-07-01,-0.0499999999999998
1995-08-01,-0.0199999999999996
1995-09-01,-0.12
1995-10-01,0
1995-11-01,0.0800000000000001
1995-12-01,-0.220000000000001
1996-01-01,-0.14
1996-02-01,-0.17
1996-03-01,0.13
1996-04-01,-0.00999999999999979
1996-05-01,0.0699999999999994
