Date,log_return,TB3MS,Y_lag1,sample_id
1986-03-01,-0.20376589318244775,-0.5,-0.39419005371053695,0
1986-04-01,0.01807514828498702,-0.5,-0.20376589318244775,0
1986-05-01,0.18050266581568275,0.0900000000000007,0.01807514828498702,0
1986-06-01,-0.13557695354235166,0.0599999999999996,0.18050266581568275,0
1986-07-01,-0.14734835318348605,-0.38,-0.13557695354235166,0
1986-08-01,0.2645520864692186,-0.3,-0.14734835318348605,0
1986-09-01,-0.015348983348815182,-0.32,0.2645520864692186,0
1986-10-01,0.0020154524793496442,-0.0300000000000002,-0.015348983348815182,0
1986-11-01,0.021249139482126367,0.17,0.0020154524793496442,0
1986-12-01,0.05682984475534347,0.180000000000001,0.021249139482126367,0
1987-01-01,0.1464059489009415,-0.100000000000001,0.05682984475534347,0
1987-02-01,-0.049460630168399966,0.16,0.1464059489009415,0
1987-03-01,0.030515543925950794,0.0,-0.049460630168399966,0
1987-04-01,0.02055237295332102,0.0499999999999998,0.030515543925950794,0
1987-05-01,0.0398793662315966,0.0200000000000005,0.02055237295332102,0
1987-06-01,0.03189336377595353,0.0099999999999997,0.0398793662315966,0
1987-07-01,0.061357083065360474,0.0200000000000005,0.03189336377595353,0
1987-08-01,-0.04946987028131389,0.35,0.061357083065360474,0
1987-09-01,-0.03916163070370571,0.36,-0.04946987028131389,0
1987-10-01,0.016755913728438987,-0.27,-0.03916163070370571,0
1987-11-01,-0.05219474472300645,-0.44,0.016755913728438987,0
1987-12-01,-0.08696315051811032,0.0799999999999992,-0.05219474472300645,0
1988-01-01,-0.008718451039881003,0.04,-0.08696315051811032,0
1988-02-01,-0.019452425926815398,-0.149999999999999,-0.008718451039881003,0
1988-03-01,-0.036367644170875124,0.04,-0.019452425926815398,0
1988-04-01,0.097552333210015,0.21,-0.036367644170875124,0
1988-05-01,-0.02494460402399623,0.35,0.097552333210015,0
1988-06-01,-0.052442059591423895,0.2,-0.02494460402399623,0
1988-07-01,-0.06433688790773218,0.27,-0.052442059591423895,0
1988-08-01,0.0012894908298717311,0.329999999999999,-0.06433688790773218,0
1988-09-01,-0.06522604264969933,0.180000000000001,0.0012894908298717311,0
1988-10-01,-0.05441115936480978,0.109999999999999,-0.06522604264969933,0
1988-11-01,0.026515347727863237,0.41,-0.05441115936480978,0
1988-12-01,0.14705341795649662,0.31,0.026515347727863237,0
1989-01-01,0.09542117375526837,0.199999999999999,0.14705341795649662,0
1989-02-01,-0.004449395549541713,0.26,0.09542117375526837,0
1989-03-01,0.08235544158373909,0.290000000000001,-0.004449395549541713,0
1989-04-01,0.07846192960170839,-0.17,0.08235544158373909,0
1989-05-01,-0.04613588258455881,-0.220000000000001,0.07846192960170839,0
1989-06-01,-0.0034851914789606475,-0.279999999999999,-0.04613588258455881,0
1989-07-01,-0.013557827558011937,-0.27,-0.0034851914789606475,0
1989-08-01,-0.06258559280887388,0.0200000000000005,-0.013557827558011937,0
1989-09-01,0.05293349857075702,-0.15,-0.06258559280887388,0
1989-10-01,0.025700583108581032,-0.11,0.05293349857075702,0
1989-11-01,-0.012012156448003797,0.0500000000000007,0.025700583108581032,0
1989-12-01,0.06056538186499427,-0.0600000000000005,-0.012012156448003797,0
1990-01-01,0.08011561788464361,0.0099999999999997,0.06056538186499427,0
1990-02-01,-0.033358663497309315,0.100000000000001,0.08011561788464361,0
1990-03-01,-0.08098541028299122,0.16,-0.033358663497309315,0
1990-04-01,-0.1010648129046321,-0.130000000000001,-0.08098541028299122,0
1990-05-01,-0.012558177598982034,-0.0299999999999994,-0.1010648129046321,0
1990-06-01,-0.08601287466004015,-0.0099999999999997,-0.012558177598982034,0
1990-07-01,0.09965565106382668,-0.11,-0.08601287466004015,0
1990-08-01,0.3921885649990773,-0.17,0.09965565106382668,0
1990-09-01,0.20459096626360562,-0.0899999999999999,0.3921885649990773,0
1990-10-01,0.072785530990918,-0.19,0.20459096626360562,0
1990-11-01,-0.1086338410027956,-0.11,0.072785530990918,0
1990-12-01,-0.16984175876208019,-0.319999999999999,-0.1086338410027956,0
1991-01-01,-0.07812007032229484,-0.52,-0.16984175876208019,0
1991-02-01,-0.20858496248165936,-0.279999999999999,-0.07812007032229484,0
1991-03-01,-0.028729068440860317,-0.0300000000000002,-0.20858496248165936,0
1991-04-01,0.04567452354243384,-0.26,-0.028729068440860317,0
1991-05-01,0.019021020442284264,-0.19,0.04567452354243384,0
1991-06-01,-0.05022784339041886,0.11,0.019021020442284264,0
1991-07-01,0.05820348970305966,0.0099999999999997,-0.05022784339041886,0
1991-08-01,0.013460402810977268,-0.25,0.05820348970305966,0
1991-09-01,0.009178586695988589,-0.11,0.013460402810977268,0
1991-10-01,0.05941463524754642,-0.23,0.009178586695988589,0
1991-11-01,-0.03370859747202104,-0.430000000000001,0.05941463524754642,0
1991-12-01,-0.14132148374059605,-0.489999999999999,-0.03370859747202104,0
1992-01-01,-0.03708965214432691,-0.27,-0.14132148374059605,0
1992-02-01,0.011640343074963866,0.04,-0.03708965214432691,0
1992-03-01,-0.0047455928766053646,0.2,0.011640343074963866,0
1992-04-01,0.06694708755592149,-0.29,-0.0047455928766053646,0
1992-05-01,0.03640295178849717,-0.12,0.06694708755592149,0
1992-06-01,0.06504482764251218,0.0300000000000002,0.03640295178849717,0
1992-07-01,-0.02762231310584884,-0.45,0.06504482764251218,0
1992-08-01,-0.020408871631207415,-0.0800000000000001,-0.02762231310584884,0
1992-09-01,0.024989731680173488,-0.22,-0.020408871631207415,0
1992-10-01,-0.008721652714997585,-0.0500000000000003,0.024989731680173488,0
1992-11-01,-0.06426193421836901,0.27,-0.008721652714997585,0
1992-12-01,-0.046800993439495286,0.0900000000000003,-0.06426193421836901,0
1993-01-01,-0.01977171587286053,-0.22,-0.046800993439495286,0
1993-02-01,0.054205497518784895,-0.0699999999999998,-0.01977171587286053,0
1993-03-01,0.011383443883437927,0.02,0.054205497518784895,0
1993-04-01,-0.003450829157732649,-0.0800000000000001,0.011383443883437927,0
1993-05-01,-0.014925650216675912,0.0899999999999999,-0.003450829157732649,0
1993-06-01,-0.044064505598216286,0.11,-0.014925650216675912,0
1993-07-01,-0.06492274021702826,-0.0299999999999998,-0.044064505598216286,0
1993-08-01,0.006685261667236819,-0.02,-0.06492274021702826,0
1993-09-01,-0.028726278258396132,-0.0699999999999998,0.006685261667236819,0
1993-10-01,0.03646967978139104,0.0699999999999998,-0.028726278258396132,0
1993-11-01,-0.088665637085656,0.0800000000000001,0.03646967978139104,0
1993-12-01,-0.1344779142285537,-0.04,-0.088665637085656,0
1994-01-01,0.03452119436823331,-0.0800000000000001,-0.1344779142285537,0
1994-02-01,-0.01677328824482771,0.27,0.03452119436823331,0
1994-03-01,-0.0067888923336858475,0.25,-0.01677328824482771,0
1994-04-01,0.11201408083791264,0.18,-0.0067888923336858475,0
1994-05-01,0.08574179349634559,0.46,0.11201408083791264,0
1994-06-01,0.06335000070542796,0.0,0.08574179349634559,0
1994-07-01,0.030994216492964632,0.19,0.06335000070542796,0
1994-08-01,-0.06732299779147954,0.15,0.030994216492964632,0
1994-09-01,-0.05192346827910477,0.14,-0.06732299779147954,0
1994-10-01,0.015354296528498512,0.33,-0.05192346827910477,0
1994-11-01,0.019559159427202655,0.34,0.015354296528498512,0
1994-12-01,-0.05167201054432091,0.31,0.019559159427202655,0
1995-01-01,0.05001042057466121,0.11,-0.05167201054432091,0
1995-02-01,0.028955860730136784,0.0599999999999996,0.05001042057466121,0
1995-03-01,-0.001616815226905377,-0.0399999999999991,0.028955860730136784,0
1995-04-01,0.07078917159273779,-0.0800000000000001,-0.001616815226905377,0
1995-05-01,-0.008072697725111322,0.0199999999999996,0.07078917159273779,0
1995-06-01,-0.06758266351879927,-0.2,-0.008072697725111322,0
1995-07-01,-0.06262526675902169,-0.0499999999999998,-0.06758266351879927,0
1995-08-01,0.0390431484526772,-0.0199999999999996,-0.06262526675902169,0
1995-09-01,0.01158633651037988,-0.12,0.0390431484526772,0
1995-10-01,-0.04487572915864213,0.0,0.01158633651037988,0
1995-11-01,0.03162318843051226,0.0800000000000001,-0.04487572915864213,0
1995-12-01,0.056200633345616424,-0.220000000000001,0.03162318843051226,0
1996-01-01,-0.00897340410274694,-0.14,0.056200633345616424,0
1996-02-01,0.012121360532344916,-0.17,-0.00897340410274694,0
1996-03-01,0.11094989474560313,0.13,0.012121360532344916,0
1996-04-01,0.09688588866685421,-0.0099999999999997,0.11094989474560313,0
1996-05-01,-0.10441533600333974,0.0699999999999994,0.09688588866685421,0
1996-06-01,-0.036070272410253956,0.0700000000000003,-0.10441533600333974,0
1996-07-01,0.04219225997885978,0.0600000000000005,-0.036070272410253956,0
1996-08-01,0.027779564107075494,-0.100000000000001,0.04219225997885978,0
1996-09-01,0.09031641162383774,0.04,0.027779564107075494,0
1996-10-01,0.037261219424685965,-0.0999999999999996,0.09031641162383774,0
1996-11-01,-0.048167367793664706,0.04,0.037261219424685965,0
1996-12-01,0.06213686257565243,-0.12,-0.048167367793664706,0
1997-01-01,-0.0039714110974657935,0.12,0.06213686257565243,0
1997-02-01,-0.12487136963327972,-0.0200000000000005,-0.0039714110974657935,0
1997-03-01,-0.05609813700839261,0.13,-0.12487136963327972,0
1997-04-01,-0.062474209169885775,0.0200000000000005,-0.05609813700839261,0
1997-05-01,0.055295427442880296,-0.11,-0.062474209169885775,0
1997-06-01,-0.0778836568168435,-0.12,0.055295427442880296,0
1997-07-01,0.02055570834904108,0.12,-0.0778836568168435,0
1997-08-01,0.01464302861685196,0.0899999999999999,0.02055570834904108,0
1997-09-01,-0.007547205635382692,-0.19,0.01464302861685196,0
1997-10-01,0.07443259478276953,0.0199999999999996,-0.007547205635382692,0
1997-11-01,-0.05492710015851321,0.17,0.07443259478276953,0
1997-12-01,-0.09664837047313268,0.0200000000000005,-0.05492710015851321,0
1998-01-01,-0.09193345419505805,-0.12,-0.09664837047313268,0
1998-02-01,-0.04027389913793966,0.0499999999999998,-0.09193345419505805,0
1998-03-01,-0.06031333776722869,-0.0599999999999996,-0.04027389913793966,0
