Date,CPI,TB3MS,M1,M2,AUD_USD,CAD_USD,NZD_USD,ZAR_USD
1986-01-01,109.9,7.07,621.4,2502.1,0.7000047619047619,1.4069809523809524,0.5165714285714286,2.3627619047619044
1986-02-01,109.7,7.06,625.2,2512.9,0.6992842105263158,1.4042842105263158,0.5317736842105263,2.089715789473684
1986-03-01,109.1,6.56,633.5,2533.1,0.7079380952380953,1.4009095238095237,0.5282,2.040942857142857
1986-04-01,108.7,6.06,641.0,2557.8,0.722840909090909,1.387868181818182,0.5612681818181818,2.051609090909091
1986-05-01,109.0,6.15,652.0,2584.8,0.7271952380952381,1.3757190476190477,0.5666571428571429,2.1940285714285714
1986-06-01,109.4,6.21,660.6,2605.0,0.6888666666666667,1.3899142857142857,0.545852380952381,2.5362095238095237
1986-07-01,109.5,5.83,670.3,2626.6,0.6290590909090908,1.3808363636363636,0.5317636363636363,2.56215
1986-08-01,109.6,5.53,678.7,2646.5,0.6123285714285714,1.3885190476190477,0.5006809523809524,2.6050142857142857
1986-09-01,110.0,5.21,687.4,2667.8,0.6220761904761904,1.387252380952381,0.4795,2.3087809523809524
1986-10-01,110.2,5.18,694.9,2687.4,0.6383136363636364,1.3884772727272727,0.5039227272727272,2.2516499999999997
1986-11-01,110.4,5.35,705.4,2701.3,0.6445222222222222,1.3863333333333334,0.5138222222222222,2.2538111111111108
1986-12-01,110.8,5.53,724.7,2728.0,0.6594818181818182,1.3800772727272728,0.513390909090909,2.225290909090909
1987-01-01,111.4,5.43,730.2,2743.9,0.66088,1.36055,0.536055,2.097375
1987-02-01,111.8,5.59,730.7,2747.5,0.6676684210526316,1.3339736842105263,0.5481473684210526,2.084642105263158
1987-03-01,112.2,5.59,733.8,2753.7,0.6870954545454545,1.3194272727272727,0.5633318181818182,2.0743772727272725
1987-04-01,112.7,5.64,743.9,2767.7,0.7114045454545455,1.3191954545454545,0.5775363636363636,2.0176363636363637
1987-05-01,113.0,5.66,745.8,2772.9,0.71416,1.34107,0.57639,2.005465
1987-06-01,113.5,5.67,743.2,2774.6,0.7179318181818182,1.3386909090909092,0.5868636363636364,2.023959090909091
1987-07-01,113.8,5.69,743.0,2779.0,0.7078869565217392,1.3261652173913043,0.5964434782608695,2.060978260869565
1987-08-01,114.3,6.04,744.9,2788.2,0.7071714285714286,1.325647619047619,0.5892333333333334,2.0767571428571427
