CPI,TB3MS,M1,M2,AUD_USD,CAD_USD,NZD_USD,ZAR_USD,WTI_price
-0.00548447444216027,-0.07345444854915306,0.013188401213872325,0.008006384425382151,0.012299398281610474,-0.002406028719858788,-0.006742993348660575,-0.023616184876496304,-0.20376589318244775
-0.003673098711860945,-0.07928080287477446,0.011769457159475749,0.009703664898015774,0.020832501428067862,-0.009352797844480287,0.06072383389042324,0.005212521698971351,0.01807514828498702
0.0027560881019796923,0.0147422817372036,0.017015105005983244,0.010500621511068786,0.006005839373310673,-0.008792349549001377,0.009555600758819116,0.06711497664270583,0.18050266581568275
0.00366300775873718,0.009708814126960785,0.013103951030036143,0.007784539677178515,-0.054147259455809116,0.010265542133426897,-0.03740585987853351,0.14493126866363892,-0.13557695354235166
0.0009136592686749268,-0.06314389558298639,0.014576860407222725,0.00825755896359226,-0.09082253861259437,-0.006552704092872619,-0.026149476568830488,0.010176096809182189,-0.14734835318348605
0.0009128252573598061,-0.05282918482815768,0.012453830345800831,0.007547778146982154,-0.026956176637256135,0.005548369602799363,-0.060230021431949554,0.01659140937966974,0.2645520864692186
0.0036429912785012064,-0.05960795976896782,0.01273716070602049,0.008016150408901801,0.0157935581022578,-0.0009126592640524844,-0.0432251823094677,-0.12071850015452423,-0.015348983348815182
0.0018165309263977747,-0.005774799493883931,0.0108515859045486,0.007320020734366217,0.02576717763441344,0.0008825728779294217,0.049679043090012254,-0.025056378203030083,0.0020154524793496442
0.001813237124181022,0.03229150463652353,0.01499706748166929,0.0051589551575768056,0.009679545972087533,-0.0015452873186263538,0.01945439705144192,0.0009593296772766324,0.021249139482126367
0.0036166404701880595,0.033091254626328226,0.02699275831328496,0.009835601364466484,0.0229451011112371,-0.004522879761290233,-0.0008397734482021857,-0.012734957738864128,0.05682984475534347
0.005400553180000323,-0.018248681588399318,0.007560693106300143,0.005811526069667394,0.002117877571959581,-0.014250462571105627,0.04319920673011046,-0.05920108990284556,0.1464059489009415
0.0035842332278148703,0.02904015322116371,0.0006845095756355946,0.0013111412447557313,0.010219394377497582,-0.019726809440032467,0.02230740352490357,-0.006089374462839303,-0.049460630168399966
0.0035714323675977155,0.0,0.0042335331240099805,0.0022540546153786423,0.02868155196418165,-0.010964462174505418,0.027324658355559306,-0.004936189253125667,0.030515543925950794
0.004446427957134347,0.008904778342959663,0.013670105276113453,0.005071188467815624,0.034768022347753835,-0.00017571150283723913,0.024902578121965502,-0.027734289831758074,0.02055237295332102
0.002658397666610135,0.003539826705124094,0.0025508505474247656,0.0018770535778713793,0.003865777927423708,0.016445756145140267,-0.001986892837564147,-0.006050755211299941,0.0398793662315966
0.004415018209116717,0.0017652255245692583,-0.003492280245091628,0.000612888707783199,0.005267576918503214,-0.0017755998500295078,0.018007971904683173,0.00917958515081485,0.03189336377595353
0.00263968477077281,0.003521130398578931,-0.0002691427818692915,0.001584558095878208,-0.014090188773598578,-0.009400720601744739,0.0161919945921859,0.018125214777555354,0.061357083065360474
