Model,RMSE,MAE,MSE,R2
Add 25%,0.135969772257171,0.0837906934531756,0.018487778967666946,0.025607323465341558
Add 50%,0.13616189914638302,0.08398178292545223,0.01854006277914978,0.022851721340322206
Add 100%,0.11830883730026423,0.07724023591011944,0.013996980983340394,0.05748597076067563
